Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
1660_apologetico	OC80	ref	seccion8	1660	Juan de Espinosa Medrano	Famosos son, en las armas	1590			
1660_apologetico	OC389	ref	seccion8	1660	Juan de Espinosa Medrano	Menos solicitó veloz saeta	1623			
1660_apologetico	OC264B	ref	seccion8	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613			
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	OC311	ref	seccion8	1660	Juan de Espinosa Medrano	En vez de las Helíades, ahora	1617			
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	OC315	ref	seccion8	1660	Juan de Espinosa Medrano	Caballo que despediste,	1617			
1660_apologetico	OC324	ref	seccion8	1660	Juan de Espinosa Medrano	Guerra me hacen dos cuidados	1619			
1660_apologetico	OC383	ref	seccion8	1660	Juan de Espinosa Medrano	«Ave del plumaje negro,	1622			
1660_apologetico	OC255	ref	seccion8	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1660_apologetico	OC145	ref	seccion8	1660	Juan de Espinosa Medrano	Sobre trastes de guijas	1603			
1660_apologetico	OC18	ref	seccion8	1660	Juan de Espinosa Medrano	Cual parece al romper de la mañana	1582			
1660_apologetico	OC33	ref	seccion8	1660	Juan de Espinosa Medrano	Cuál del Ganges marfil, o cuál de Paro	1583			
1660_apologetico	OC61	ref	seccion8	1660	Juan de Espinosa Medrano	Levantando blanca espuma	1586			
1660_apologetico	OC82	ref	seccion8	1660	Juan de Espinosa Medrano	Dejad los libros ahora	1590			
1660_apologetico	OC147	ref	seccion8	1660	Juan de Espinosa Medrano	De un monte en los senos, donde	1603			
1660_apologetico	OC160	ref	seccion8	1660	Juan de Espinosa Medrano	A un tiempo dejaba el sol	1605			
1660_apologetico	OC202	ref	seccion8	1660	Juan de Espinosa Medrano	Mal haya el que en señores idolatra	1609			
1660_apologetico	OC219	ref	seccion8	1660	Juan de Espinosa Medrano	Pálida restituye a su elemento	1610			
1660_apologetico	OC249	ref	seccion8	1660	Juan de Espinosa Medrano	Cloris, el más bello grano	1611			
1660_apologetico	OC255	ref	seccion8	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1660_apologetico	OC264B	ref	seccion8	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613			
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	OC350	ref	seccion8	1660	Juan de Espinosa Medrano	Por las faldas del Atlante,	1620			
1660_apologetico	OC372	ref	seccion8	1660	Juan de Espinosa Medrano	Guarda corderos, zagala,	1621			
1660_apologetico	OC375	ref	seccion8	1660	Juan de Espinosa Medrano	Al tronco descansaba de una encina	1622			
1660_apologetico	OC255	ref	seccion8	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	OC279	ref	seccion8	1660	Juan de Espinosa Medrano	Al campo salió, el estío,	1614			
1660_apologetico	OC313	ref	seccion8	1660	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617			
1660_apologetico	OC317	ref	seccion8	1660	Juan de Espinosa Medrano	La ciudad de Babilonia,	1618			
1660_apologetico	OC351	ref	seccion8	1660	Juan de Espinosa Medrano	En la fuerza de Almería	1620			
1660_apologetico	OC360	ref	seccion8	1660	Juan de Espinosa Medrano	Aljófares risueños de Albïela:	1621			
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion8	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion8	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion8	1660	Juan de Espinosa Medrano					
1660_apologetico	Luis de Góngora	polemista	seccion9_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Virgilio	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Donato	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Virgilio	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Lucano	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Claudiano	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Ronsard	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	OC264B	ref	seccion9	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613			
1660_apologetico	Vatablo	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Marcial	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Aristóteles	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Teócrito	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Ovidio	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Homero	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Virgilio	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Teócrito	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Ovidio	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Luis de Góngora	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Marcial	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Salustio	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Petrarca	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Corte Real	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Valdivieso	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Boyardo	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Luis de Góngora	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Montemayor	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Marino	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Tasso	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Lope de Vega	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Camoens	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Lope de Vega	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Escalígero	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Antonio Verderio	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Pedro Aretino	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Lope de Vega	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Camoens	authority	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion9	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	OC223	ref	seccion10	1660	Juan de Espinosa Medrano	En roscas de cristal serpiente breve	1610			
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	OC255	ref	seccion10	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	OC317	ref	seccion10	1660	Juan de Espinosa Medrano	La ciudad de Babilonia,	1618			
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	OC313	ref	seccion10	1660	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617			
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Virgilio	authority	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Ezequiel, profeta	authority	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Homero	authority	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	San Mateo	authority	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	OC255	ref	seccion10	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Corte Real	authority	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Valdivieso	authority	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Boyardo	authority	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Luis de Góngora	polemista	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Montemayor	authority	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Marino	authority	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Tasso	authority	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Lope de Vega	authority	seccion10	1660	Juan de Espinosa Medrano					
1660_apologetico	Luis de Góngora	polemista	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Camoens	authority	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Vicuña	polemista	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Homero	authority	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Virgilio	authority	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Camoens	authority	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Marcial	authority	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Luis de Góngora	polemista	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Estacio	authority	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Luis de Góngora	polemista	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Camoens	authority	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Luis de Góngora	polemista	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Camoens	authority	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Camoens	authority	seccion11_Faria	1660	Manuel de Faría y Sousa					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion11	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion11	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion11	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion11	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion11	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion11	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion11	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion11	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion11	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion11	1660	Juan de Espinosa Medrano					
1660_apologetico	OC41	ref	seccion12	1660	Juan de Espinosa Medrano	La dulce boca que a gustar convida	1584			
1660_apologetico	OC264C	ref	seccion12	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion12	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion12	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion12	1660	Juan de Espinosa Medrano					
1660_apologetico	Nicolás de Albiz	polemista	seccion12	1660	Juan de Espinosa Medrano					
1660_apologetico	Cristóbal de Salazar Mardones	polemista	seccion12	1660	Juan de Espinosa Medrano					
1660_apologetico	Cristóbal de Salazar Mardones	polemista	seccion12	1660	Juan de Espinosa Medrano					
1660_apologetico	Cristóbal de Salazar Mardones	polemista	seccion12	1660	Juan de Espinosa Medrano					

